MFG_DAY,TFT_CHIP_ID,LOT_ID,TFT_GLASS_ID,CF_GLASS_ID,PRODUCT_CODE,MODULE_MODEL_NO,MULTI_DEFECT_CODE,MULTI_JND,PIC_ID,TEST_TOOL_ID,X,Y,GRADE
4/6/2022,D28A0LB,612D28,612D28A0L,D85Q133L7D,T850MVR05,T850MVR05-1/K1,L128 Mura,2.6,612D28A0LBZZ_20220406195627_0_L050P_resize.bmp,JI13,2534,2893,P
4/7/2022,D2894UA,612D28,612D2894U,D85Q133KVP,T850MVR05,T850MVR05-1/K1,L128 Mura,2.5,612D2894UAZZ_20220407003404_0_L050P_resize.bmp,JI13,2339,2650,P
4/7/2022,D28W4GB,6A2D28,6A2D28W4G,D85Q133JEN,T850MVR05,T850MVR05-1/K1,L128 Mura,2.4,6A2D28W4GBZZ_20220407000649_0_L050P_resize.bmp,JI13,2361,2246,P
4/7/2022,D28Z71A,612D28,612D28Z71,D85Q133KDM,T850MVR05,T850MVR05-1/K1,L128 Mura,2.8,612D28Z71AZZ_20220407024800_0_L050P_resize.bmp,JI13,2363,4126,N
4/7/2022,D3374NB,6A2D33,6A2D3374N,D85Q133TAG,T850MVR05,T850MVR05-1/K1,L128 Mura,2.7,6A2D3374NBZZ_20220407074822_0_L050P_resize.bmp,JI13,2479,1421,P
4/7/2022,D3376VA,6A2D33,6A2D3376V,D85Q133U2T,T850MVR05,T850MVR05-1/K1,L128 Mura,2.8,6A2D3376VAZZ_20220407174632_0_L050P_resize.bmp,JI13,2491,3463,N
4/7/2022,D3380CB,6A2D33,6A2D3380C,D85Q133VKU,T850MVR05,T850MVR05-1/K1,L128 Mura,2.9,6A2D3380CBZZ_20220407023801_0_L050P_resize.bmp,JI13,2535,2557,N
4/7/2022,D3381CA,6A2D33,6A2D3381C,D85Q133QY3,T850MVR05,T850MVR05-1/K1,L128 Mura,2.5,6A2D3381CAZZ_20220407024614_0_L050P_resize.bmp,JI13,2421,1662,P
4/8/2022,D2895JA,612D28,612D2895J,D85Q133L51,T850MVR05,T850MVR05-1/K1,L128 Mura,2.8,612D2895JAZZ_20220408001136_0_L050P_resize.bmp,JI13,2342,3838,N
4/8/2022,D28A1MA,612D28,612D28A1M,D85Q133JCB,T850MVR05,T850MVR05-1/K1,L128 Mura,2.5,612D28A1MAZZ_20220408065423_0_L050P_resize.bmp,JI13,2415,801,P
4/8/2022,D28Z1SA,612D28,612D28Z1S,D85Q133KDP,T850MVR05,T850MVR05-1/K1,L128 Mura,2.6,612D28Z1SAZZ_20220408012051_0_L050P_resize.bmp,JI13,2368,3798,P
4/8/2022,D3380JB,6A2D33,6A2D3380J,D85Q133VKX,T850MVR05,T850MVR05-1/K1,L128 Mura,2.9,6A2D3380JBZZ_20220408113148_0_L050P_resize.bmp,JI13,2494,2526,N
4/9/2022,D3244ZB,612D32,612D3244Z,D85Q133TAM,T850MVR05,T850MVR05-1/K1,L128 Mura,2.4,612D3244ZBZZ_20220409014226_0_L050P_resize.bmp,JI13,2492,477,P
4/10/2022,D29B9AB,612D29,612D29B9A,D85Q133L72,T850MVR05,T850MVR05-1/K1,L128 Mura,3.2,612D29B9ABZZ_20220410155534_0_L050P_resize.bmp,JI13,2458,2067,N
